ITEM,ITEM,QTY,REFERENCE DESIGNATORS,PART,DESCRIPTION,MANUFACTURER,MAN PART NUMBER
1,1,1,N/A,,"3.5"" x 2.15"" 6 Layer PCB Rev C",,
,2,1,N/A,microSD Card,2GB microSD card,,
15,3,7,"C1,C2,C6,C100,C121,C139,C152",4.7uF,CAP CER 4.7UF 6.3V X5R 0603,Murata,GRM188R60J475ME19D
14,4,20,"C3,C4,C5,C8,C9,C10,C14,C15,C17,C18,C19,C31,C32,C44,C50,C69,C89,C135,C159,C165",10uF,CAP CER 10UF 10V Y5V 0805,TDK,C2012Y5V1A106Z
,5,1,C7,4.7uF,CAP CER 4.7UF 50V X5R 10% 0805,TDK,C2012X5R1H475K
16,6,2,"C16,C116",22uF,CAP CER 22UF 6.3V X5R 20% 0805,TDK,C2012X5R0J226M/1.25
,7,1,C20,2.2uF,CAP CER 2.2UF 6.3V X5R 10% 0402,TDK,C1005X5R0J225K
2,8,81,"C21,C22,C25,C28,C29,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C45,C46,C47,C48,C49,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C86,C87,C88,C90,C91,C92,C93,C94,C95,C96,C98,C99,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C117,C118,C134,C154",0.01uF,Capacitor 0.01uF 16V 10% 0402,Panasonic,ECJ-0YB1C103K
,9,2,,22pF,CAP CERM 22PF 5% 100V NP0 0805,AVX,08051A220JAT2A
7,10,4,"C26,C27,C137,C144",18pF,CAP CER 18PF 50V C0G 5% 0402,TDK,C1005C0G1H180J
9,11,1,C30,0.001uF,CAP_CER_0.001UF_16V_X7R_0402,Yageo,CC0402KRX7R7BB102
10,12,5,"C83,C84,C85,C97,C125",1uF,Capacitor 1uF 10V Ceramic 10% 0402,AVX,0402ZD105KAT2A
8,13,25,"C102,C119,C120,C122,C123,C136,C138,C140,C141,C142,C143,C147,C148,C149,C150,C151,C156,C157,C158,C160,C161,C162,C163,C164,C166",0.1uF,Capacitor 0.1uF 16V 10% 0402 X7R,Kemet,C0402C104K4RACT
,14,1,C124,470pf,CAP CER 470PF 50V 10% X7R 0402,Murata,GRM155R71H471KA01D
13,15,1,C130,0.022,CAP CER 22000PF 10V X7R 10% 0402,Taiyo Yuden,LMK105B7223KV-F
,16,2,"C131,C132",30pf,CAP CER 30PF 50V C0G 0402,TDK,C1005C0G1H300J
,17,1,C133,100uF,CAP_TANT_100UF_6.3V_3528-21,Kemet,B45196H1107M309
,18,2,"C153,C155",27pf,CAP CER 27PF 50V 5% C0G 0402,Murata,GRM1555C1H270JZ01D
17,19,5,"D1,D2,D3,D4,D5",Green LED,LED Green SMD 20mA 2V 0805,Dialight,598-8170-107F
28,20,8,"FB1,FB2,FB3,FB4,FB5,FB6,FB7,FB8",150OHM800mA,Ferrite Bead 150 Ohm 800mA,Steward,LI0805H151R-10
27,21,3,"L1,L2,L3",2.2uH,"Inductor 2.2uH smt 2.6A, 58 milliohm",TDK,VLCF5020T-2R2N2R6-3
,22,1,P2,87520-0010BLF,CONN RCPT USB TYPE A R/A PCB,FCI,87520-0010BLF
,23,1,P3,USB_miniA/B,CONN RECEPT USB 5POS RT ANG SMD,Molex,56579-0576
24,24,1,P4,SCHA5B0200,Connector SD/MMC,ALPS,SCHA5B0200
19,25,1,P5,PJ-002A,CONN POWER JACK 2.1MM,CUI,PJ-002A
,26,1,P6,HEADER 5 x2 x.1,"CONN HEADER FEM 10POS .1"" DL TIN",Sullins,PPTC052LFBN-RC
,27,2,"P8,P9",HEADER 23 x2 x.1,"NN HEADER FMAL 46PS.1"" DL GOLD",Sullins,PPPC232LFBN-RC
,,,,HEADER 23 x2 x.1,"NN HEADER FMAL 46PS.1"" DL GOLD",MLE,SSHS-123-D-02-GT-LF     
26,28,1,P10,RJ-45,RJ-45 10/100 W/Magnetics,Wurth,7499010211A
31,29,2,"Q1,Q2",RN1907,TRANS NPN/NPN W/RES 50V SMINI6,Panasonic,DMC564040R
40,30,7,"R1,R77,R152,R162,R176,R179,R186","4.75K,0402",RES 4.75K OHM 1/16W 1% 0402 SMD,Stackpole Electronics,RMCF0402FT4K75
44,31,5,"R2,R18,R145,R157,R167","12.1K,0402",RES 12.1K OHM 1/16W 1% 0402 SMD,Yageo,RC0402FR-0712K1L
,32,2,"R3,R138",".1,0805",RES .10 OHM 1/8W 5% 0805,CTS,73L3R10J
,33,3,"R4,R7,R131",1.5K,RES 1.50K OHM 1/16W 1% 0402 SMD,Yageo,RC0402FR-071K5L
,34,7,"R6,R96,R97,R98,R99,R16,R128",470,RES 470 OHM 1/10W 5% 0402 SMD,Panasonic,ERJ-2GEJ471X
